song_id,num_id,genre_sub,instrument,instrument_base,instrument_major,stem_group_4,is_pansori,stem_path,sr,ch,frames,dur_s,subtype,split
0001_정악_풍류음악,0001,풍류음악,대금,대금,대금,관악,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_대금.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,소금,소금,기타,관악,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_소금.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,아쟁,아쟁,아쟁,찰현,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_아쟁.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,장구,장구,타악기,타악,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_장구.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,좌고,좌고,타악기,타악,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_좌고.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,피리,피리,피리,관악,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_피리.wav,48000,2,12268800,255.6,PCM_24,train
0001_정악_풍류음악,0001,풍류음악,해금,해금,해금,찰현,False,data/extracted/train/source/0001_정악_풍류음악/0001_정악_풍류음악_해금.wav,48000,2,12268800,255.6,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,대금,대금,대금,관악,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_대금.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,소금,소금,기타,관악,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_소금.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,아쟁,아쟁,아쟁,찰현,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_아쟁.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,장구,장구,타악기,타악,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_장구.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,좌고,좌고,타악기,타악,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_좌고.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,피리,피리,피리,관악,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_피리.wav,48000,2,12643200,263.4,PCM_24,train
0002_정악_풍류음악,0002,풍류음악,해금,해금,해금,찰현,False,data/extracted/train/source/0002_정악_풍류음악/0002_정악_풍류음악_해금.wav,48000,2,12643200,263.4,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,대금,대금,대금,관악,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_대금.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,소금,소금,기타,관악,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_소금.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,아쟁,아쟁,아쟁,찰현,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_아쟁.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,장구,장구,타악기,타악,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_장구.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,좌고,좌고,타악기,타악,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_좌고.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,피리,피리,피리,관악,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_피리.wav,48000,2,10224000,213.0,PCM_24,train
0003_정악_풍류음악,0003,풍류음악,해금,해금,해금,찰현,False,data/extracted/train/source/0003_정악_풍류음악/0003_정악_풍류음악_해금.wav,48000,2,10224000,213.0,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,대금,대금,대금,관악,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_대금.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,소금,소금,기타,관악,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_소금.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,아쟁,아쟁,아쟁,찰현,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_아쟁.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,장구,장구,타악기,타악,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_장구.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,좌고,좌고,타악기,타악,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_좌고.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,피리,피리,피리,관악,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_피리.wav,48000,2,9244800,192.6,PCM_24,train
0004_정악_풍류음악,0004,풍류음악,해금,해금,해금,찰현,False,data/extracted/val/source/0004_정악_풍류음악/0004_정악_풍류음악_해금.wav,48000,2,9244800,192.6,PCM_24,train
